	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YPL089C	1709.68687136043	0.106032571616971	0.0849751245586034	1.24780719260782	0.212101674036704	0.33618448379169
YPL088W	1744.08722449041	0.251397222988673	0.0731049110016546	3.43885546872471	0.000584179029631605	0.00392750620682866
YPL087W	1872.2048909727	0.231635312715913	0.0582514709079629	3.97647147969698	6.9945383205206e-05	0.000761531706822782
YPL086C	1321.7972575266	-0.0609292493725873	0.062303698993196	-0.977939518153508	0.328104238469618	0.465539066069543
YPL085W	1398.041833611	-0.0240621104898391	0.0550165663512995	-0.437361182015511	0.661849431149067	0.758556256035408
YPL084W	1315.13409883842	0.109316704318955	0.0707811518081458	1.54443240222003	0.122483615457064	0.221824346246632
YPL083C	1246.8820079303	0.228913994289513	0.0570685651780381	4.01120991171524	6.04083696811994e-05	0.000686350361288075
YPL082C	2381.77479355522	-0.335295665472692	0.0797729760559439	-4.20312343916507	2.6325693097774e-05	0.000366175880765494
YPL081W	1520.38783026891	-0.245597357242074	0.0963357701361416	-2.54938904723548	0.0107911842622993	0.0353011611099106
YPL080C	2193.51192295003	-0.446607858830802	0.0752746403038724	-5.9330454058354	2.97366568679571e-09	2.87834544423267e-07
YPL079W	2797.75935326553	-0.645831859142301	0.099304434180741	-6.50355509771942	7.84436715802538e-11	1.5396749538502e-08
YPL078C	2429.72174555099	-0.197143862786218	0.0661972069449048	-2.97812962033729	0.00290013307852914	0.0129810861795042
YPL077C	1581.46220395948	0.0368353438425225	0.0544770220569329	0.676162948188075	0.498937194079623	0.628653747033991
YPL076W	1583.48510658694	0.0295092831167942	0.057776672428849	0.510747363533862	0.60952797086328	0.717701156827185
YPL075W	2148.46763281912	-0.610178756959019	0.160829347426562	-3.793951581117	0.000148268598804438	0.00136771007722214
YPL074W	1142.55853571876	0.0439755973929466	0.0549882417953104	0.799727286365009	0.423868820074968	0.559510009835555
YPL073C	1344.14023629704	0.203732386870974	0.0872144576294265	2.33599327919497	0.019491591814828	0.0559186308418899
YPL072W	1238.78826635068	0.0729599527233276	0.058238659540681	1.25277527502781	0.210287502197636	0.334048629215932
YPL071C	1216.18911518925	0.086041014682934	0.0545346656300114	1.57773067257213	0.114627496608369	0.210761876407686
YPL070W	1246.91014923327	0.0976863517218219	0.0560724158577965	1.74214629827188	0.0814828479891046	0.16347467458575
YPL069C	1599.86352385139	0.0227101837437925	0.0689225190634343	0.329503100762912	0.741775450623971	0.822524718680385
YPL068C	4413.5323873922	-0.668525379926996	0.147604148259977	-4.52917745068732	5.92137535553271e-06	0.000114946258962072
YPL067C	2255.23192661261	-0.225891962411574	0.0838566817833803	-2.69378608367906	0.00706454892610652	0.0256648342991613
YPL066W	2280.7854970808	-0.240855912433385	0.0860243934494367	-2.79985598009424	0.00511254108579634	0.0200361704449456
YPL065W	1237.74983138597	0.0992842385405783	0.0532827387835064	1.86334713281126	0.0624134429010717	0.133843213213649
YPL064C	1400.80664289864	0.0181669382658613	0.0651253179911999	0.278953544124209	0.780280476491358	0.850842877606163
YPL063W	1513.12721852355	0.0253445501938026	0.0716851375638231	0.353553763794311	0.72367333010149	0.809311337593948
YPL062W	4276.79847676383	-0.549584624945241	0.157850868669905	-3.48166994313171	0.00049829747526678	0.00351043864430216
